,pm25,t2m,d2m,u10,v10
2016/3/16 20:00,323,285.0523981,272.1128977,0.054917615,4.105470698
2016/3/17 2:00,248,279.7244472,271.5081241,2.182201254,3.546422659
2016/3/17 8:00,248,278.8899363,272.7413106,0.859415036,1.950526439
2016/3/17 14:00,327,291.0981741,275.9779325,1.450582667,3.226743428
2016/3/17 20:00,369,286.6047341,276.9422212,1.047980175,2.857690474
2016/3/18 2:00,400,280.6131336,275.812457,1.716272008,-0.894087481
2016/3/18 8:00,364,280.3172521,272.1030479,1.517801009,-4.181502447
2016/3/18 14:00,98,292.8859652,268.4665269,-0.57162809,-1.956559998
2016/3/18 20:00,31,286.6662025,271.1190597,-3.135477173,-1.802188991
2016/3/19 2:00,187,281.3924271,268.5551745,-2.583225425,-1.549070539
2016/3/19 8:00,65,280.1974409,268.9984124,-1.822243035,-2.020933333
2016/3/19 14:00,45,287.1329451,268.1276961,-1.746180175,1.524912448
2016/3/19 20:00,73,282.0894156,268.4891813,-0.613727999,2.781754938
2016/3/20 2:00,39,278.5075824,268.574874,0.652099518,-0.823464307
2016/3/20 8:00,67,277.7064103,270.1459062,0.507403192,-2.570294123
2016/3/20 14:00,48,290.0198735,268.1070117,0.770969849,1.258356843
2016/3/20 20:00,75,283.2635651,269.3598976,1.183831982,3.286741876
2016/3/21 2:00,125,277.7876735,268.5325201,3.23469898,0.408691321
2016/3/21 8:00,161,278.6732344,270.8314475,1.731484581,-0.92502418
2016/3/21 14:00,118,292.1639726,270.9713137,2.770892419,3.046435592
2016/3/21 20:00,148,287.4996715,274.1448974,1.942691687,2.464888134
2016/3/22 2:00,179,283.8584537,274.9515904,1.101047287,0.75086997
2016/3/22 8:00,156,284.1532933,271.9484071,-4.428545808,-3.785575188
2016/3/22 14:00,94,286.7120433,271.5189588,-0.5953314,-0.306290185
2016/3/22 20:00,56,281.6049617,271.9562869,0.649269272,0.622748284
2016/3/23 2:00,75,280.0599185,267.9346414,-1.737689437,-3.465583465
2016/3/23 8:00,11,279.1795668,263.2934477,-0.200865866,-4.587741939
2016/3/23 14:00,11,285.0774021,261.6465725,0.470609994,-3.114967534
2016/3/23 20:00,12,279.5785901,263.1388069,-2.132154971,-3.186840675
2016/3/24 2:00,7,275.9436233,259.5771438,0.364475769,-3.228714592
2016/3/24 8:00,13,276.8437698,263.3456513,0.861891501,-3.54464392
2016/3/24 14:00,15,285.0003062,260.1306988,0.116475465,-2.019058382
2016/3/24 20:00,30,281.1236334,263.5987894,-0.275867385,1.017113083
2016/3/25 2:00,15,273.5119774,264.0105082,0.623089496,-1.847187827
2016/3/25 8:00,13,276.7739668,264.0124781,0.762832892,-3.895572343
2016/3/25 14:00,14,285.6660396,260.120849,-0.825288887,-1.700629118
2016/3/25 20:00,21,281.5236985,264.5177694,1.091495207,0.657122395
2016/3/26 2:00,12,275.665453,264.3453991,1.671341853,-1.61281889
2016/3/26 8:00,12,279.1128893,264.5532284,2.594002045,-3.734639005
2016/3/26 14:00,11,289.7375359,262.65617,0.531460283,-2.737164807
2016/3/26 20:00,17,283.3896273,265.8248288,2.411097398,-1.295327102
2016/3/27 2:00,14,278.1721111,264.6142967,2.250127158,-2.052807509
2016/3/27 8:00,17,279.5275402,265.340222,3.084342162,-3.059656465
